area,type,number,median,years1,years5,years10,inc
Moncrieff,units,52,529.5845,529.0605428,,,
Coombs,units,90,532.3441,549.1203482,,,
Lawson,units,142,547.5044,540.4257933,,,
Taylor,houses,36,604.8857,610.1026758,,,
Moncrieff,houses,61,639.7168,617.3537202,,,
Throsby,houses,30,651.815,679.0565528,,,
Denman Prospect,houses,30,798.1719,839.7178889,,,
Aranda,units,12,593.998,513.6782986,397.7489741,451.7423165,0.083515636
Campbell,units,174,544.2677,531.9546302,367.7500157,376.1596158,0.081563375
Downer,units,32,534.1016,488.7877371,366.2424309,288.3871772,0.078378062
Dickson,houses,61,630.8041,560.523498,446.8633251,462.9539136,0.071381046
Ainslie,houses,93,665.9111,604.1130789,481.6746377,498.8498036,0.066921569
OConnor (ACT),houses,106,674.8316,577.5695107,490.927286,507.7045565,0.065701674
Downer,houses,82,597.236,583.7894047,434.6928528,438.2255345,0.06559628
Campbell,houses,89,871.6803,740.9154297,638.5443568,611.5069993,0.064224449
Watson,houses,98,579.359,510.2680925,427.3500059,444.9439955,0.062754148
Hackett,houses,58,593.6607,570.7963862,439.4516125,437.9618578,0.062002276
Red Hill (ACT),houses,88,750.0092,768.566753,561.018811,629.4990971,0.059785159
Lyneham,houses,44,609.7089,595.3751858,462.2416322,448.2312104,0.056940879
Turner,houses,22,711.5428,595.4049642,539.5131232,546.3227026,0.056914371
Forde,units,28,574.162,543.2590439,435.4676541,,0.056855736
Deakin,houses,92,755.2144,784.8603908,576.1100301,594.1755518,0.055633017
Torrens,units,21,506.7611,490.0119615,389.7845866,409.8395163,0.053891063
Weston,units,29,474.5834,448.9393368,366.0018885,357.0778544,0.053333371
Duffy,units,22,518.3253,488.2370286,399.8289538,384.0546281,0.053284355
Nicholls,units,27,540.4903,511.0732629,417.7102072,409.3991955,0.052888939
Braddon,houses,35,680.9211,538.7036998,527.4197989,502.2086002,0.052417528
Holder,units,30,504.7512,486.4851133,391.0899363,380.0488517,0.052349851
Pearce,units,41,469.0778,456.4669328,366.1911745,386.466665,0.050769362
Dunlop,units,11,508.7732,454.5079675,397.6058576,418.8394907,0.050544106
Charnwood,units,11,445.0314,407.5030982,348.6516509,341.8554609,0.050025354
Macgregor (ACT),units,11,453.1446,423.2437077,355.1683013,360.1096671,0.049930428
Charnwood,houses,37,497.0557,499.8902195,392.1145648,386.7439137,0.048572387
Weetangera,units,12,541.6967,513.4334876,427.5154991,440.928333,0.048481725
Page,units,28,467.535,461.7509921,369.6914242,370.4553818,0.048081247
Crace,houses,131,673.0029,649.596219,532.2890904,,0.048030385
Deakin,units,52,624.9572,595.9275046,494.5749591,465.3192629,0.047909145
Farrer,units,17,432.6517,399.7545634,342.4126083,363.1785499,0.047894916
Franklin,units,253,458.2171,427.6174583,363.2217867,475.2750863,0.047562348
Flynn (ACT),houses,32,571.7048,555.2405803,453.8041264,390.8215482,0.047274863
Kaleen,units,13,503.4714,490.4580959,401.1358985,399.4546693,0.046493789
Macquarie,units,48,485.3211,460.5897928,386.8418822,354.284684,0.046403388
OMalley,units,17,538.5052,541.8370596,429.3309952,474.7357436,0.046356151
Page,houses,53,491.4627,497.5981207,392.4328443,366.2877168,0.046032174
Watson,units,126,487.1744,469.9252854,389.2889016,415.1444302,0.045881515
Spence,units,0,498.8797,456.4031514,398.7838865,402.9643664,0.045807245
Macarthur,units,0,537.5699,540.1442268,430.0661315,453.1544267,0.045634587
Griffith (ACT),houses,65,826.0797,775.1196864,661.077707,600.7329135,0.045571863
Gowrie (ACT),units,0,517.3434,471.9450245,414.6293958,374.0637601,0.045258637
Fadden,units,0,524.9344,531.2197157,421.105337,440.8785833,0.045063928
Chifley,units,38,421.3677,412.8763018,338.2809743,360.930858,0.044904823
Amaroo,units,41,514.4508,506.7322209,413.7915458,411.9708881,0.044509626
Higgins,houses,50,492.3335,499.9520615,396.942785,388.1836529,0.044013934
Kambah,units,24,476.1104,475.9205548,384.2638237,371.8633165,0.043796013
Stirling,units,10,511.549,479.3948489,413.9054776,390.2752429,0.043271187
Cook,houses,34,530.9951,527.4314467,429.6806753,417.462086,0.043251309
Latham,units,12,454.1414,369.9163069,367.6302565,377.041877,0.043172115
Holt,houses,49,489.5261,495.8741389,396.3415593,381.7227542,0.043136754
Wanniassa,houses,97,517.6864,515.0006484,419.5924134,415.192084,0.042912387
Latham,houses,37,487.3949,494.2245305,395.6562162,376.8464832,0.042587701
Hawker,units,38,417.1971,399.9701014,338.9650106,326.1496678,0.042406911
Gordon (ACT),units,43,466.7101,442.4940523,381.1942665,382.6309665,0.041310309
Casey,units,109,476.7356,474.160297,389.5194697,481.3378301,0.041237217
Curtin,units,67,396.8447,387.8398063,324.5597234,346.411717,0.041034667
Torrens,houses,47,537.8794,569.0474104,440.3973223,457.2046482,0.040801833
Casey,houses,154,608.1952,606.5545748,498.1664478,455.5808499,0.040719526
Isabella Plains,units,19,466.3171,442.8958599,382.3078479,380.3095929,0.040527651
Calwell,houses,45,531.8805,531.4497918,436.1829846,421.4581933,0.040468819
Macquarie,houses,46,516.7303,512.631531,423.8201372,422.7601998,0.040438629
Gungahlin,units,270,444.3218,423.283378,364.545788,399.609934,0.040373083
Holt,units,40,449.7565,427.6888498,369.0542652,366.4702086,0.040345143
Scullin,houses,37,491.5358,497.7908996,403.9092872,405.1503242,0.040050107
Aranda,houses,33,627.4335,601.0043666,516.5456375,493.7427678,0.039661115
Florey,houses,47,514.0913,512.3856946,423.3266989,406.843957,0.039615914
Spence,houses,24,524.5236,522.3726023,432.3885556,430.0995731,0.039389125
Braddon,units,488,520.9292,517.2862226,429.6908852,442.3955971,0.039260718
Reid,units,57,525.1796,519.9627827,433.3751475,447.3909045,0.039175189
Dunlop,houses,76,553.0245,550.2548122,456.3795462,398.1391055,0.039162916
Florey,units,30,464.1537,454.9414687,383.05553,381.7374365,0.039154245
Macgregor (ACT),houses,128,513.4752,519.5889759,424.2124537,406.843143,0.038932212
Palmerston,units,61,470.3806,458.1460123,389.3369217,406.2789202,0.038543668
Banks,units,20,453.4456,454.2623587,375.8450492,377.4142111,0.038253184
Ngunnawal,units,84,466.0883,470.6957434,386.3907889,403.3507651,0.038217362
Gilmore,houses,32,519.2645,519.9880738,430.4787669,397.2288223,0.038215192
Ngunnawal,houses,192,515.1652,520.4448113,427.5575773,398.8076599,0.037983338
Dickson,units,114,486.2849,477.5399028,403.8852835,436.9909764,0.03783079
Forrest,units,80,628.6234,629.9971112,522.302995,630.598035,0.037752063
Bonython,houses,21,572.3018,573.276719,475.5996224,431.9403389,0.037711721
Bonner,units,48,505.6076,505.0632211,420.3711809,,0.037614738
Wright,houses,24,719.5705,695.9742159,598.626659,,0.037488901
Richardson,houses,28,488.7148,498.1358688,406.663685,366.028305,0.037442463
Melba,houses,42,524.3419,517.572786,436.3491548,421.4234282,0.037423508
Yarralumla,units,70,674.5194,648.9589018,561.6116794,625.4185899,0.0373174
Forde,houses,109,683.2809,660.7074105,569.4766442,524.5774166,0.037109644
OConnor (ACT),units,102,494.3012,504.8334545,412.1953126,373.4059959,0.036997533
Bonython,units,42,502.0504,484.2896593,418.7197164,390.9936621,0.036966631
Weetangera,houses,27,623.4786,568.0589852,519.994684,512.8795733,0.03696603
Calwell,units,13,462.3397,434.8220558,386.1683096,386.8685443,0.03666136
Phillip,houses,13,519.9085,558.2592191,434.4914424,448.1946156,0.036547332
Harrison,units,188,458.435,446.5937994,383.360256,456.4147294,0.036416065
Scullin,units,16,421.0638,391.8226701,352.2096018,331.1778121,0.036356899
Bonner,houses,258,632.3989,617.1562906,529.0301539,,0.036339701
Coombs,houses,31,725.8994,688.3220387,607.3626382,,0.036300417
Theodore,houses,34,525.7229,529.4932963,440.7423451,453.8339744,0.035891867
Belconnen,units,394,450.9224,442.3301453,378.2651322,376.0628005,0.035764686
Kambah,houses,141,496.3218,499.2141826,416.5812139,411.6534084,0.035649343
